file,sigma,seed,final_round,rmse_ret,rmse_price_implied,canary_rmse
exp3_canary_sigma0_seed0.csv,0.0,0,69,0.0292462981002485,1.340934126302241,0.3332032561302185
exp3_canary_sigma0_seed1.csv,0.0,1,106,0.1140595013879469,7.242518008783769,0.2725311815738678
exp3_canary_sigma0_seed2.csv,0.0,2,149,0.0279271475383545,1.2831897637097958,0.1989056169986724
exp3_canary_sigma0_seed3.csv,0.0,3,88,0.0305872021084779,1.385585241623945,0.236761674284935
exp3_canary_sigma0_seed4.csv,0.0,4,155,0.110692750120913,6.984617805785561,0.0235748011618852
exp3_canary_sigma0.01_seed0.csv,0.01,0,195,0.1070729145179295,6.7642085132321625,0.0172668695449829
exp3_canary_sigma0.01_seed1.csv,0.01,1,96,0.115391614915336,7.368544854308029,0.4158701002597809
exp3_canary_sigma0.01_seed2.csv,0.01,2,200,0.1097426728705419,6.938544817243079,0.0057767033576965
exp3_canary_sigma0.01_seed3.csv,0.01,3,160,0.0268757486506756,1.242819103630051,0.4773071408271789
exp3_canary_sigma0.01_seed4.csv,0.01,4,115,0.0327200961798155,1.5452955670397024,0.2369283437728881
exp3_canary_sigma0.05_seed0.csv,0.05,0,109,0.0298427171301745,1.3423325104757005,0.141745924949646
exp3_canary_sigma0.05_seed1.csv,0.05,1,157,0.1134464465595528,7.204507709287545,0.0016787946224212
exp3_canary_sigma0.05_seed2.csv,0.05,2,200,0.029052178176957,1.3228948172225987,0.0226556379348039
exp3_canary_sigma0.05_seed3.csv,0.05,3,171,0.1131430625416075,7.113555218403033,0.096034936606884
exp3_canary_sigma0.05_seed4.csv,0.05,4,200,0.1123169902263991,7.111124500959074,0.0129702091217041
exp3_canary_sigma0.1_seed0.csv,0.1,0,80,0.040716152199773,1.4653923630329837,0.4090016484260559
exp3_canary_sigma0.1_seed1.csv,0.1,1,96,0.1151484206124559,7.322412592926864,0.26602703332901
exp3_canary_sigma0.1_seed2.csv,0.1,2,200,0.1127696387478339,7.155086111353629,0.0105034112930297
exp3_canary_sigma0.1_seed3.csv,0.1,3,200,0.1097768730587899,6.95919191984953,0.0549552701413631
exp3_canary_sigma0.1_seed4.csv,0.1,4,131,0.1117161121598682,7.081748149846434,0.0622594393789768
exp3_canary_sigma0.2_seed0.csv,0.2,0,120,0.0282624354621828,1.2971734343433217,0.2623950839042663
exp3_canary_sigma0.2_seed1.csv,0.2,1,79,0.0314699864245818,1.4033645892773214,0.202029675245285
exp3_canary_sigma0.2_seed2.csv,0.2,2,152,0.1129194105782118,7.169596460156455,0.0070675308816134
exp3_canary_sigma0.2_seed3.csv,0.2,3,200,0.1082863513366082,6.839427055822593,0.0079149007797241
exp3_canary_sigma0.2_seed4.csv,0.2,4,147,0.1113480269347195,7.084210624565705,0.0101169636473059
