test_hub,algo,round,train_hubs,clients_per_round,local_epochs,lr,mu,rmse_ret,mae_ret,rmse_price_implied,mae_price_implied
TTF,fedprox,1,FIN|LTU|LVA-EST,3,5,0.001,0.01,0.011332623660564423,0.011332623660564423,0.33156263303756717,0.33156263303756717
TTF,fedprox,2,FIN|LTU|LVA-EST,3,5,0.001,0.01,0.028435327112674713,0.028435327112674713,0.8155894306898119,0.8155894306898119
TTF,fedprox,3,FIN|LTU|LVA-EST,3,5,0.001,0.01,0.024536289274692535,0.024536289274692535,0.705123073637484,0.705123073637484
TTF,fedprox,4,FIN|LTU|LVA-EST,3,5,0.001,0.01,0.020417027175426483,0.020417027175426483,0.5879512155056013,0.5879512155056013
TTF,fedprox,5,FIN|LTU|LVA-EST,3,5,0.001,0.01,0.01982273906469345,0.01982273906469345,0.5710045855045323,0.5710045855045323
TTF,fedprox,6,FIN|LTU|LVA-EST,3,5,0.001,0.01,0.016864188015460968,0.016864188015460968,0.4864983388185493,0.4864983388185493
TTF,fedprox,7,FIN|LTU|LVA-EST,3,5,0.001,0.01,0.01378486305475235,0.01378486305475235,0.39827697360515657,0.39827697360515657
TTF,fedprox,8,FIN|LTU|LVA-EST,3,5,0.001,0.01,0.011753782629966736,0.011753782629966736,0.3399391142129886,0.3399391142129886
TTF,fedprox,9,FIN|LTU|LVA-EST,3,5,0.001,0.01,0.01668073982000351,0.01668073982000351,0.4812524695396405,0.4812524695396405
TTF,fedprox,10,FIN|LTU|LVA-EST,3,5,0.001,0.01,0.01949208974838257,0.01949208974838257,0.5615728579759605,0.5615728579759605
TTF,fedprox,11,FIN|LTU|LVA-EST,3,5,0.001,0.01,0.018109746277332306,0.018109746277332306,0.522105226874352,0.522105226874352
TTF,fedprox,12,FIN|LTU|LVA-EST,3,5,0.001,0.01,0.01969514787197113,0.01969514787197113,0.567367359161377,0.567367359161377
TTF,fedprox,13,FIN|LTU|LVA-EST,3,5,0.001,0.01,0.021480612456798553,0.021480612456798553,0.6182512751817697,0.6182512751817697
TTF,fedprox,14,FIN|LTU|LVA-EST,3,5,0.001,0.01,0.02130771428346634,0.02130771428346634,0.6133271344900137,0.6133271344900137
TTF,fedprox,15,FIN|LTU|LVA-EST,3,5,0.001,0.01,0.018958747386932373,0.018958747386932373,0.5463534024953844,0.5463534024953844
TTF,fedprox,16,FIN|LTU|LVA-EST,3,5,0.001,0.01,0.02252056449651718,0.02252056449651718,0.6478469185829177,0.6478469185829177
TTF,fedprox,17,FIN|LTU|LVA-EST,3,5,0.001,0.01,0.017968595027923584,0.017968595027923584,0.5180751529932017,0.5180751529932017
TTF,fedprox,18,FIN|LTU|LVA-EST,3,5,0.001,0.01,0.016916505992412567,0.016916505992412567,0.48799522340297585,0.48799522340297585
TTF,fedprox,19,FIN|LTU|LVA-EST,3,5,0.001,0.01,0.015743471682071686,0.015743471682071686,0.4544236919879907,0.4544236919879907
TTF,fedprox,20,FIN|LTU|LVA-EST,3,5,0.001,0.01,0.019116736948490143,0.019116736948490143,0.5508609893322003,0.5508609893322003
TTF,fedprox,21,FIN|LTU|LVA-EST,3,5,0.001,0.01,0.0180104598402977,0.0180104598402977,0.5192706286907196,0.5192706286907196
TTF,fedprox,22,FIN|LTU|LVA-EST,3,5,0.001,0.01,0.017645180225372314,0.017645180225372314,0.5088296893835071,0.5088296893835071
TTF,fedprox,23,FIN|LTU|LVA-EST,3,5,0.001,0.01,0.016507141292095184,0.016507141292095184,0.47628430283069534,0.47628430283069534
TTF,fedprox,24,FIN|LTU|LVA-EST,3,5,0.001,0.01,0.015578418970108032,0.015578418970108032,0.4496959750652323,0.4496959750652323
TTF,fedprox,25,FIN|LTU|LVA-EST,3,5,0.001,0.01,0.014419332146644592,0.014419332146644592,0.4164766517877574,0.4164766517877574
TTF,fedprox,26,FIN|LTU|LVA-EST,3,5,0.001,0.01,0.017491817474365234,0.017491817474365234,0.5044474073648466,0.5044474073648466
TTF,fedprox,27,FIN|LTU|LVA-EST,3,5,0.001,0.01,0.018299512565135956,0.018299512565135956,0.5275272002220142,0.5275272002220142
TTF,fedprox,28,FIN|LTU|LVA-EST,3,5,0.001,0.01,0.018216446042060852,0.018216446042060852,0.5251565685272226,0.5251565685272226
TTF,fedprox,29,FIN|LTU|LVA-EST,3,5,0.001,0.01,0.017659053206443787,0.017659053206443787,0.5092293101549146,0.5092293101549146
TTF,fedprox,30,FIN|LTU|LVA-EST,3,5,0.001,0.01,0.01840996742248535,0.01840996742248535,0.5306835269927994,0.5306835269927994
TTF,fedprox,31,FIN|LTU|LVA-EST,3,5,0.001,0.01,0.017376743257045746,0.017376743257045746,0.5011590025424972,0.5011590025424972
